transaction_id,customer_id,timestamp,amount,payment_method,gateway,merchant_category,status,failure_reason,failure_code,retry_count,previous_failed_payments,previous_successful_payments,customer_risk,recommended_action,recovery_priority,recovery_channel,recovery_status
TXN0000001,CUST05239,2026-03-12 08:21:00,1093.04,UPI,Razorpay,Utilities,SUCCESS,,,0,5,24,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000002,CUST07309,2026-04-19 01:05:00,579.25,Wallet,Razorpay,Healthcare,SUCCESS,,,0,1,17,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000003,CUST04932,2026-07-03 22:10:00,1271.16,UPI,Gateway_B,Food,SUCCESS,,,1,1,15,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000004,CUST04828,2026-07-26 05:26:00,3050.41,Debit Card,Razorpay,Subscription,SUCCESS,,,0,2,5,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000005,CUST01764,2026-04-08 03:18:00,526.29,Debit Card,Razorpay,Ecommerce,SUCCESS,,,0,4,9,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000006,CUST06612,2026-05-18 04:15:00,526.3,UPI,Gateway_B,Travel,PENDING,,,1,0,18,LOW,MONITOR,LOW,EMAIL,PENDING
TXN0000007,CUST05067,2026-06-30 02:22:00,3226.69,Debit Card,Gateway_B,Food,SUCCESS,,,0,6,10,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000008,CUST00654,2026-03-13 15:28:00,1432.87,Credit Card,Razorpay,Travel,SUCCESS,,,0,1,12,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000009,CUST02911,2026-06-29 23:19:00,415.93,Credit Card,Gateway_B,Education,SUCCESS,,,0,4,24,MEDIUM,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000010,CUST02006,2026-03-11 21:50:00,1144.31,Credit Card,Gateway_A,Travel,SUCCESS,,,0,5,11,HIGH,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000011,CUST06905,2026-01-09 10:46:00,418.46,UPI,Razorpay,Subscription,SUCCESS,,,0,1,30,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000012,CUST07725,2026-02-24 22:22:00,417.49,Wallet,Gateway_B,Education,SUCCESS,,,1,1,9,LOW,NO_ACTION,NONE,NONE,NOT_REQUIRED
TXN0000013,CUST01144,2026-05-18 08:58:00,847.22,Credit Card,Gateway_B,Healthcare,FAILED,Daily Limit Exceeded,LIMIT_EXCEEDED,3,2,8,LOW,USE_ALTERNATIVE_PAYMENT_METHOD,HIGH,SMS,RECOVERED
